id,char,pinyin,allPinyins,toneNumber,fileName,audio,isPolyphonic,source,recommendedText,note
136,爸,bà,bà,ba4,136_ba4.mp3,/audio/hanzi/136_ba4.mp3,false,一年级下册常见字节选,爸,
137,全,quán,quán,quan2,137_quan2.mp3,/audio/hanzi/137_quan2.mp3,false,一年级下册常见字节选,全,
138,关,guān,guān,guan1,138_guan1.mp3,/audio/hanzi/138_guan1.mp3,false,一年级下册常见字节选,关,
139,写,xiě,xiě,xie3,139_xie3.mp3,/audio/hanzi/139_xie3.mp3,false,一年级下册常见字节选,写,
140,完,wán,wán,wan2,140_wan2.mp3,/audio/hanzi/140_wan2.mp3,false,一年级下册常见字节选,完,
141,家,jiā,jiā,jia1,141_jia1.mp3,/audio/hanzi/141_jia1.mp3,false,一年级下册常见字节选,家,
142,看,kàn,kàn,kan4,142_kan4.mp3,/audio/hanzi/142_kan4.mp3,false,一年级下册常见字节选,看,
143,着,zhe,zhe/zháo/zhuó/zhāo,zhe5,143_zhe5.mp3,/audio/hanzi/143_zhe5.mp3,true,一年级下册常见字节选,着,多音字，请按 pinyin 字段录制当前指定读音。
144,画,huà,huà,hua4,144_hua4.mp3,/audio/hanzi/144_hua4.mp3,false,一年级下册常见字节选,画,
145,笑,xiào,xiào,xiao4,145_xiao4.mp3,/audio/hanzi/145_xiao4.mp3,false,一年级下册常见字节选,笑,
146,兴,xìng,xìng/xīng,xing4,146_xing4.mp3,/audio/hanzi/146_xing4.mp3,true,一年级下册常见字节选,兴,多音字，请按 pinyin 字段录制当前指定读音。
147,会,huì,huì,hui4,147_hui4.mp3,/audio/hanzi/147_hui4.mp3,false,一年级下册常见字节选,会,
148,妈,mā,mā,ma1,148_ma1.mp3,/audio/hanzi/148_ma1.mp3,false,一年级下册常见字节选,妈,
149,奶,nǎi,nǎi,nai3,149_nai3.mp3,/audio/hanzi/149_nai3.mp3,false,一年级下册常见字节选,奶,
150,午,wǔ,wǔ,wu3,150_wu3.mp3,/audio/hanzi/150_wu3.mp3,false,一年级下册常见字节选,午,
151,合,hé,hé,he2,151_he2.mp3,/audio/hanzi/151_he2.mp3,false,一年级下册常见字节选,合,
152,放,fàng,fàng,fang4,152_fang4.mp3,/audio/hanzi/152_fang4.mp3,false,一年级下册常见字节选,放,
153,收,shōu,shōu,shou1,153_shou1.mp3,/audio/hanzi/153_shou1.mp3,false,一年级下册常见字节选,收,
154,女,nǚ,nǚ,nv3,154_nv3.mp3,/audio/hanzi/154_nv3.mp3,false,一年级下册常见字节选,女,
155,太,tài,tài,tai4,155_tai4.mp3,/audio/hanzi/155_tai4.mp3,false,一年级下册常见字节选,太,
156,气,qì,qì,qi4,156_qi4.mp3,/audio/hanzi/156_qi4.mp3,false,一年级下册常见字节选,气,
157,早,zǎo,zǎo,zao3,157_zao3.mp3,/audio/hanzi/157_zao3.mp3,false,一年级下册常见字节选,早,
158,去,qù,qù,qu4,158_qu4.mp3,/audio/hanzi/158_qu4.mp3,false,一年级下册常见字节选,去,
159,亮,liàng,liàng,liang4,159_liang4.mp3,/audio/hanzi/159_liang4.mp3,false,一年级下册常见字节选,亮,
160,和,hé,hé/hè/huó/huò/hú,he2,160_he2.mp3,/audio/hanzi/160_he2.mp3,true,一年级下册常见字节选,和,多音字，请按 pinyin 字段录制当前指定读音。
161,语,yǔ,yǔ,yu3,161_yu3.mp3,/audio/hanzi/161_yu3.mp3,false,一年级下册常见字节选,语,
162,千,qiān,qiān,qian1,162_qian1.mp3,/audio/hanzi/162_qian1.mp3,false,一年级下册常见字节选,千,
163,李,lǐ,lǐ,li3,163_li3.mp3,/audio/hanzi/163_li3.mp3,false,一年级下册常见字节选,李,
164,秀,xiù,xiù,xiu4,164_xiu4.mp3,/audio/hanzi/164_xiu4.mp3,false,一年级下册常见字节选,秀,
165,香,xiāng,xiāng,xiang1,165_xiang1.mp3,/audio/hanzi/165_xiang1.mp3,false,一年级下册常见字节选,香,
166,听,tīng,tīng,ting1,166_ting1.mp3,/audio/hanzi/166_ting1.mp3,false,一年级下册常见字节选,听,
167,唱,chàng,chàng,chang4,167_chang4.mp3,/audio/hanzi/167_chang4.mp3,false,一年级下册常见字节选,唱,
168,连,lián,lián,lian2,168_lian2.mp3,/audio/hanzi/168_lian2.mp3,false,一年级下册常见字节选,连,
169,远,yuǎn,yuǎn,yuan3,169_yuan3.mp3,/audio/hanzi/169_yuan3.mp3,false,一年级下册常见字节选,远,
170,定,dìng,dìng,ding4,170_ding4.mp3,/audio/hanzi/170_ding4.mp3,false,一年级下册常见字节选,定,
171,向,xiàng,xiàng,xiang4,171_xiang4.mp3,/audio/hanzi/171_xiang4.mp3,false,一年级下册常见字节选,向,
172,以,yǐ,yǐ,yi3,172_yi3.mp3,/audio/hanzi/172_yi3.mp3,false,一年级下册常见字节选,以,
173,后,hòu,hòu,hou4,173_hou4.mp3,/audio/hanzi/173_hou4.mp3,false,一年级下册常见字节选,后,
174,更,gèng,gèng/gēng,geng4,174_geng4.mp3,/audio/hanzi/174_geng4.mp3,true,一年级下册常见字节选,更,多音字，请按 pinyin 字段录制当前指定读音。
175,主,zhǔ,zhǔ,zhu3,175_zhu3.mp3,/audio/hanzi/175_zhu3.mp3,false,一年级下册常见字节选,主,
176,意,yì,yì,yi4,176_yi4.mp3,/audio/hanzi/176_yi4.mp3,false,一年级下册常见字节选,意,
177,总,zǒng,zǒng,zong3,177_zong3.mp3,/audio/hanzi/177_zong3.mp3,false,一年级下册常见字节选,总,
178,先,xiān,xiān,xian1,178_xian1.mp3,/audio/hanzi/178_xian1.mp3,false,一年级下册常见字节选,先,
179,干,gān,gān/gàn,gan1,179_gan1.mp3,/audio/hanzi/179_gan1.mp3,true,一年级下册常见字节选,干,多音字，请按 pinyin 字段录制当前指定读音。
180,赶,gǎn,gǎn,gan3,180_gan3.mp3,/audio/hanzi/180_gan3.mp3,false,一年级下册常见字节选,赶,
181,起,qǐ,qǐ,qi3,181_qi3.mp3,/audio/hanzi/181_qi3.mp3,false,一年级下册常见字节选,起,
182,明,míng,míng,ming2,182_ming2.mp3,/audio/hanzi/182_ming2.mp3,false,一年级下册常见字节选,明,
183,净,jìng,jìng,jing4,183_jing4.mp3,/audio/hanzi/183_jing4.mp3,false,一年级下册常见字节选,净,
184,同,tóng,tóng,tong2,184_tong2.mp3,/audio/hanzi/184_tong2.mp3,false,一年级下册常见字节选,同,
185,工,gōng,gōng,gong1,185_gong1.mp3,/audio/hanzi/185_gong1.mp3,false,一年级下册常见字节选,工,
186,专,zhuān,zhuān,zhuan1,186_zhuan1.mp3,/audio/hanzi/186_zhuan1.mp3,false,一年级下册常见字节选,专,
187,才,cái,cái,cai2,187_cai2.mp3,/audio/hanzi/187_cai2.mp3,false,一年级下册常见字节选,才,
188,级,jí,jí,ji2,188_ji2.mp3,/audio/hanzi/188_ji2.mp3,false,一年级下册常见字节选,级,
189,队,duì,duì,dui4,189_dui4.mp3,/audio/hanzi/189_dui4.mp3,false,一年级下册常见字节选,队,
190,蚂,mǎ,mǎ,ma3,190_ma3.mp3,/audio/hanzi/190_ma3.mp3,false,一年级下册常见字节选,蚂,
191,蚁,yǐ,yǐ,yi3,191_yi3.mp3,/audio/hanzi/191_yi3.mp3,false,一年级下册常见字节选,蚁,
192,前,qián,qián,qian2,192_qian2.mp3,/audio/hanzi/192_qian2.mp3,false,一年级下册常见字节选,前,
193,空,kōng,kōng/kòng,kong1,193_kong1.mp3,/audio/hanzi/193_kong1.mp3,true,一年级下册常见字节选,空,多音字，请按 pinyin 字段录制当前指定读音。
194,房,fáng,fáng,fang2,194_fang2.mp3,/audio/hanzi/194_fang2.mp3,false,一年级下册常见字节选,房,
195,网,wǎng,wǎng,wang3,195_wang3.mp3,/audio/hanzi/195_wang3.mp3,false,一年级下册常见字节选,网,
196,诗,shī,shī,shi1,196_shi1.mp3,/audio/hanzi/196_shi1.mp3,false,一年级下册常见字节选,诗,
197,林,lín,lín,lin2,197_lin2.mp3,/audio/hanzi/197_lin2.mp3,false,一年级下册常见字节选,林,
198,童,tóng,tóng,tong2,198_tong2.mp3,/audio/hanzi/198_tong2.mp3,false,一年级下册常见字节选,童,
199,黄,huáng,huáng,huang2,199_huang2.mp3,/audio/hanzi/199_huang2.mp3,false,一年级下册常见字节选,黄,
200,闭,bì,bì,bi4,200_bi4.mp3,/audio/hanzi/200_bi4.mp3,false,一年级下册常见字节选,闭,
201,立,lì,lì,li4,201_li4.mp3,/audio/hanzi/201_li4.mp3,false,一年级下册常见字节选,立,
202,是,shì,shì,shi4,202_shi4.mp3,/audio/hanzi/202_shi4.mp3,false,一年级下册常见字节选,是,
203,朵,duǒ,duǒ,duo3,203_duo3.mp3,/audio/hanzi/203_duo3.mp3,false,一年级下册常见字节选,朵,
204,美,měi,měi,mei3,204_mei3.mp3,/audio/hanzi/204_mei3.mp3,false,一年级下册常见字节选,美,
205,我,wǒ,wǒ,wo3,205_wo3.mp3,/audio/hanzi/205_wo3.mp3,false,一年级下册常见字节选,我,
206,叶,yè,yè,ye4,206_ye4.mp3,/audio/hanzi/206_ye4.mp3,false,一年级下册常见字节选,叶,
207,机,jī,jī,ji1,207_ji1.mp3,/audio/hanzi/207_ji1.mp3,false,一年级下册常见字节选,机,
208,她,tā,tā,ta1,208_ta1.mp3,/audio/hanzi/208_ta1.mp3,false,一年级下册常见字节选,她,
209,他,tā,tā,ta1,209_ta1.mp3,/audio/hanzi/209_ta1.mp3,false,一年级下册常见字节选,他,
210,送,sòng,sòng,song4,210_song4.mp3,/audio/hanzi/210_song4.mp3,false,一年级下册常见字节选,送,
211,过,guò,guò,guo4,211_guo4.mp3,/audio/hanzi/211_guo4.mp3,false,一年级下册常见字节选,过,
212,时,shí,shí,shi2,212_shi2.mp3,/audio/hanzi/212_shi2.mp3,false,一年级下册常见字节选,时,
213,让,ràng,ràng,rang4,213_rang4.mp3,/audio/hanzi/213_rang4.mp3,false,一年级下册常见字节选,让,
214,吗,ma,ma,ma5,214_ma5.mp3,/audio/hanzi/214_ma5.mp3,false,一年级下册常见字节选,吗,
215,吧,ba,ba,ba5,215_ba5.mp3,/audio/hanzi/215_ba5.mp3,false,一年级下册常见字节选,吧,
216,虫,chóng,chóng,chong2,216_chong2.mp3,/audio/hanzi/216_chong2.mp3,false,一年级下册常见字节选,虫,
217,往,wǎng,wǎng,wang3,217_wang3.mp3,/audio/hanzi/217_wang3.mp3,false,一年级下册常见字节选,往,
218,得,dé,dé/de/děi,de2,218_de2.mp3,/audio/hanzi/218_de2.mp3,true,一年级下册常见字节选,得,多音字，请按 pinyin 字段录制当前指定读音。
219,很,hěn,hěn,hen3,219_hen3.mp3,/audio/hanzi/219_hen3.mp3,false,一年级下册常见字节选,很,
220,河,hé,hé,he2,220_he2.mp3,/audio/hanzi/220_he2.mp3,false,一年级下册常见字节选,河,
221,姐,jiě,jiě,jie3,221_jie3.mp3,/audio/hanzi/221_jie3.mp3,false,一年级下册常见字节选,姐,
222,借,jiè,jiè,jie4,222_jie4.mp3,/audio/hanzi/222_jie4.mp3,false,一年级下册常见字节选,借,
